,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.013311374833848377,0.43558257950083723,0.0116196443695483,0.5562718996769652,0.0540652796626091,-0.34415677591769456
Group 0 std,std,0.005990704462671811,0.21094321366708157,0.012105500130237642,0.36653425741195145,0.0017961098346859217,0.04465437716016297
Group 1 mean,mean,-0.008526932349347423,0.613897996128595,-0.0033352855004140647,0.5500228695031854,0.05401933193206787,-0.43782573497708305
Group 1 std,std,0.005252601757779283,0.21633913893337495,0.012521298797612237,0.23765155171178118,0.0017334985313937068,0.046140297846085136
Group 2 mean,mean,0.046433889653253804,0.005753014624259102,0.02131362815094663,0.20585290388742186,0.05260171368718147,-0.3628100990416177
Group 2 std,std,0.005487788161653603,0.005010255949684805,0.005067443373057976,0.13310768703907264,0.0011730995029211044,0.030392746291437997
Group 3 mean,mean,0.027857877368305063,0.0958586037181941,0.027733887913512882,0.13607452561456249,0.05445678159594536,-0.38178181863413313
Group 3 std,std,0.005012470216355466,0.04625574009059075,0.010329755627050756,0.14037076827339293,0.00195157784037292,0.049519108091821334
Group 4 mean,mean,7.884624621619894e-05,0.8525287138956381,-0.0071855292666791306,0.5488036467688868,0.055151499807834625,-0.4024369841065306
Group 4 std,std,0.003663452288669604,0.06875592628306368,0.008673322369342366,0.1617253621111616,0.0019059336045756936,0.04846561479630016
Overall mean,mean,0.015831011150455206,0.4007241815735047,0.010029269133382925,0.3994051690902043,0.054058924317359924,-0.38580228253541177
Overall std,std,0.02058864119030821,0.3470963334737733,0.016627214838306537,0.2813435525857268,0.0017979053081944585,0.052322078812796595
