,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
0,0.6216563079744151,0,0.7541283109553271,0,0.024940271770366177,0.3799415459745813
1,0.6183319190023903,0,0.7475420711468374,0,0.023328680151882233,0.3790634969946346
2,0.6211362754734957,0,0.7522000436647042,0,0.023875948517824003,0.3814196631136261
3,0.6435592903155678,0,0.7582580503697705,0,0.02327783827814629,0.40935007653239186
4,0.6227506129483678,0,0.7464111225330494,0,0.024244943547834318,0.38347993722263707
,,,,,,
DNA + ATAC mean,0.6254868811428473,0,0.7517079197339378,0,0.023933536453210558,0.38665094396757416
DNA + ATAC std,0.01023344615291732,0,0.004858370251747761,0,0.0006909410231220374,0.012798999720095629
