,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.5580862462336963,3.1115336458448e-310,0.7082607264091815,0,0.02829282358288765,0.2965912930070834
Group 0 std,std,0.00201431642093762,0,0.002880791811535904,0,0.000575413869228214,0.014305783892694084
Group 1 mean,mean,0.558726558212998,3.8105854864415e-311,0.7150477355651731,0,0.02724076434969902,0.2749360227289784
Group 1 std,std,0.0017076659349778993,0,0.0028794624516253102,0,0.0010130413575097919,0.026964006777958738
Group 2 mean,mean,0.562056071757248,9.83986634747e-313,0.7144602366731442,0,0.027370521798729897,0.2908819484615724
Group 2 std,std,0.003259034633027722,0,0.0018169396054972075,0,0.0006480737356469035,0.01679038380487297
Group 3 mean,mean,0.5773179435390438,0,0.7143252507992701,0,0.02736825682222843,0.3055601516480492
Group 3 std,std,0.003329042537645279,0,0.003608289797012372,0,0.001340449438430369,0.03401246992780048
Group 4 mean,mean,0.5561723587568926,4.0900860254343164e-301,0.7015189751267535,0,0.02812792919576168,0.28474024368193646
Group 4 std,std,0.003919818729024018,0,0.00259430969423755,0,0.001008393825031817,0.02564224615421273
Overall mean,mean,0.5624718356999757,8.180172057873498e-302,0.7107225849147043,0,0.027680056169629097,0.29054193190552396
Overall std,std,0.008275939127655528,0,0.005918486876639653,0,0.0009826509049162269,0.024840590495261446
