,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.1705214452210138,0.2599244610890778,0.13952835283528353,0.2607790941459786,0.04024351015686989,-0.0005234686748215811
Group 0 std,std,0.11837941767341224,0.38620904640257925,0.1366711132048283,0.29776332167635283,7.271506092365598e-06,0.0001807329253985374
Group 1 mean,mean,0.11393601004634721,0.4206555217907376,0.12136093609360935,0.43631052235108936,0.037593137472867966,-0.0006117359686074409
Group 1 std,std,0.12102871816563945,0.46892471375259515,0.12395396467489801,0.48873087090199485,8.490583240927663e-06,0.00022601122221452383
Group 2 mean,mean,0.10914238085262092,0.4135395879940872,0.1085340534053405,0.4069624943200393,0.03859809413552284,-3.0265303196941318e-06
Group 2 std,std,0.10678162874328802,0.422956865900154,0.09580616746199867,0.4129341223350497,1.2040815988711984e-07,3.084112252677368e-06
Group 3 mean,mean,0.14774092622305718,0.31507757904314854,0.14047644764476447,0.36878011024122825,0.03941125422716141,-1.7830083752068405e-05
Group 3 std,std,0.11902507204159599,0.3276058128398211,0.13500436370051838,0.35735785727828884,4.3928108084401174e-07,1.1164313100095426e-05
Group 4 mean,mean,0.09625518360312926,0.35576036188650934,0.12420522052205218,0.22557617919927328,0.03933512419462204,-0.00024538635862132453
Group 4 std,std,0.028428180129444664,0.13092264990623143,0.020189269438095642,0.07616693090882744,2.1882156033825595e-06,5.5665887630755217e-05
Overall mean,mean,0.12751918918923366,0.35299150236071214,0.12682100210021,0.3396816800515218,0.03903622180223465,-0.0002802895232244218
Overall std,std,0.0997799940570235,0.34042755094062105,0.10227002977298069,0.33515836872765553,0.0009085340425372124,0.0002834142461013666
