,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,-0.003500843496491761,0.8298454437976772,0.0038839861268893335,0.8130021717009143,0.054471950978040695,-0.3542672839980775
Group 0 std,std,0.001960897822355878,0.09354657656779632,0.002976054152209687,0.1409539892248686,0.0022208960726857185,0.0552153276163769
Group 1 mean,mean,-0.01630119576441539,0.3166483494102804,-0.005531366147661634,0.7332396365962917,0.05414251610636711,-0.4411045323143961
Group 1 std,std,0.0019410023403560975,0.055515880141977114,0.001305471885211869,0.060466023600924436,0.0019476268207654357,0.051839747936183365
Group 2 mean,mean,0.04219451497739983,0.009260768952319951,0.03231828941707849,0.04597446859269155,0.052126575261354446,-0.3505002403235469
Group 2 std,std,0.0011853452728827127,0.00196421174057668,0.000697569193043366,0.004468065710275999,0.001021896954625845,0.026475419873090312
Group 3 mean,mean,0.017278842412643183,0.28583238305201925,0.02467545756711533,0.1291066272781837,0.05415714532136917,-0.37417879157203715
Group 3 std,std,0.00036760084889572557,0.01024479357130157,0.0017514189914394345,0.026137628930530152,0.0020126374438405037,0.05106847295369849
Group 4 mean,mean,-0.013358016591275699,0.40931948496078485,-0.017369579705759412,0.2837087917954009,0.05499016493558884,-0.39833447901596425
Group 4 std,std,0.00037206718654240643,0.013063445108373845,0.0008243265989804242,0.02260613138899545,0.0023141151759773493,0.058845210131692305
Overall mean,mean,0.0052626603075720335,0.3701812860346163,0.007595357451532423,0.40100633919269635,0.05397767201066017,-0.38367706544480434
Overall std,std,0.022380758067483526,0.27490794781370753,0.018952364707171286,0.3271231934837112,0.0020461338572204113,0.05696277627787814
