,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
DNA mean,0.4491372541040576,6.530226670239542e-176,0.5862681149260431,0,0.032422506622375204,0.16917480020003733
DNA std,0.014618046687684308,0,0.006400879471427652,0,0.0007987875651468209,0.0024454232021763433
ATAC mean,0.583803332061167,0,0.7468345394480668,0,0.02763592564161964,0.2919239876014427
ATAC std,0.007571527138978766,0,0.004224802605478862,0,0.0008736928129367928,0.005865106801474593
DNA + ATAC mean,0.6254868811428473,0,0.7517079197339378,0,0.023933536453210558,0.38665094396757416
DNA + ATAC std,0.01023344615291732,0,0.004858370251747761,0,0.0006909410231220374,0.012798999720095629
